用户名,评论
天花板上的猫っ,最新消息9人已经全部归案
璃-申,上海今删不讲讲嘛
超人在哪里_,“把那几个女的怼路边给cao了”监控视频开头绿衣男说的
野生稚晖菌,今天还发现有人网暴餐厅……真是吃得太饱了
时光荏苒恰白驹过隙,罗老师，如果男生和女朋友遇到这种情况，应该怎么保护女朋友
love-鼬神,希望罗老师把他们都送进去
乌鸦杂酱面m,这次为什么大家都这么愤慨，甚至平时不怎么趁热度的罗老师也要说一说。因为确实太离谱了，吃个饭，就被莫名其妙往死里打，还是好几个男性齐动手。
忘年老Baby,没有任何好处的救助，非但帮不了忙可能还惹火上身。要么一起被打进医院，要么一起进局子，非常操蛋的一件事。想骂想打都不行，QTMD！只能用我的键盘出出气了！
加丘北,严惩黑社会，性质太恶劣了，不尊重平民，不尊重生命
润涵是我的字,这是我要读研的城市呀，我一个男生也觉得很恐惧
小小志想要奥托蛋,希望人有事
欺他UP主,https://b23.tv/Hg0xmwt
KG-Area21,支持罗老师，说了我们的心声[支持][支持][支持]
我叫于小烦,我知道没人有资格指责围观者，但是当视频里那个白衣服女生被拖出门外的时候，只有一个女孩子要冲过去帮忙，被他男朋友死死拉住了。我很矛盾，我知道大家都害怕不敢上前，但又希望大家能做点什么。
快乐的屑稿子,罗老师能不能讲讲郑州接线员事件，谢谢了[热词系列_多谢款待]
楠木闭上了眼睛,我，实话来说，如果我在现场……我可能真的不敢去帮忙，十个人，又肥又壮的男的，我自认为，我没本事一打十，我只能做证人并报警……
挟琦,我是不会站出来的，我有自己的生活，怕被报复，但110还是会打的，因为真的看不下去这种事件。
天气转阴--,https://b23.tv/BV1HU4y1R7Nb 也关注一下吧！叔叔很可怜！他也很无奈
亦花亦染,我们的目标要对准这几个恶畜，不应该对准别人（包括受害者以及没有帮忙的路人），谁都没有资格骂不参与闲事的人，当然如果那人是我挨打，我肯定也想让别人帮助，但有一句话说的特别好，少问为什么多问凭什么。
静灬香J_ay,希望不要因为这个事上升到性别对立和地域歧视的问题，这应该是所有人共同面对的重大恶劣社会案件，多去关心一下弱势群体，多去想想假如真的自己碰到这种事情自己又能做些什么
Alancharie,作为一个男人，看视频时我已经把自己代入无数遍了[辣眼睛]恨不得当时在场能帮一下
利茨,这几天一直关注着这个事情，那个视频真的看得人很难过，那种深深的绝望和无力感。我其实很能理解那些只是在旁观的路人，面对一群满脸横肉的壮汉，很难有勇气冲上去，但也看到了有人拍下视频作证，作为一个普通人并没有什么好指责他们的。也正因为这样，当那几个女生冲上去帮忙的时候，真的很感动，那个被打的最惨的女孩子在看到另一个女生被拖走的时候依然踉踉跄跄地跑了过去。有时候一两个人的行为往往会污名化一个群体，但真的不希望这些演变成性别对立，面对恶人我们每个普通人都是一样的
温_壶月光下酒,不只是女性，男性遭遇这么多恶人也逃不掉毒手。恶人总是喜欢对弱势群体下手。如果这起事件是这群人围殴一名男子，不知道会不会上热搜呢？只能说女性确实是弱势一方，遇到类似遭遇的情况数不胜数，心里早有不安愤懑，这一次算是导火索。
明天我要向你告白i,我一直在努力做到尊重所有人，最后罗老师的问题我的回答是“我不会挺身而出，我会选择立马报警叫救护车”。希望大家也会一直怀揣着正直勇敢在我们力所能及的时候挺身而出。
名字没有的家伙,我最不希望看见的就是很多人从男女性别这个角度入手。。。。
Grimaster,错的是人 不是性别
吃好睡饱养生真君,5.9万＋的人出来[吃瓜]
春风过处_,自以为的冷静，到底是麻木懦弱还是冷静
明天是阴天吗,老师……我只敢在您这里看这件事……
Lord绝影,人喝醉了只是不清醒而已，这些人心理绝对有问题，必须严惩
海猫络合物official,任何人都可能成为受害者
噜啦啦啦香气,我想问，可以在旁边报警并且呵斥吗，这样好歹吓一下拖延一下时间也好。我觉得一旦有一个人发声，其他人应该也会发声，哪怕没有人上去劝阻，也会好一些。
享受美食去吧,如果对于邪恶只有冷漠，正义也就失去了感性的基础
四老黑,老师可别再回微博那里了，脏坑
1311你好,建议牢底坐穿，出来也是祸害别人[微笑]
可可dk,罗老师能出山把他们判重点吗[微笑]
我的茉优不喝咖啡,大罗老师，能不能开开逆风团啊
清沐风华,总结:做多能判10年
黑暗草莓圣代,全世界一天这么多人被打，净关注这个了
明天要早起所以不熬夜,顺风团，赢！
阿罗拉的皮卡丘,铁链钕为什么没有视频 不是应该更严重吗
xw骑士,我们应该确定的事：施暴和性别无关，施暴本身才是错误的，而不是性别。
溟可空灵,盲猜有蚯要骂罗老师了，希望罗老师不要被那些人干扰（蚯这种词不会有人对号入座吧？）
雨不云,BV1LF411u7Xx罗老师，请问一下这个该怎么说啊[微笑]
紫色毛毛马,有多少人没看完整视频啊，就这么说吧，来了个体型堪比巅峰时期施瓦辛格的壮汉，可能还一股酒气，一边说着要把你和你旁边的朋友“怼街边艹死”一边上来就对你动手动脚，你一反抗他甚至还有要抱你的动作（注：抱住更挣脱不开哦）你朋友不会急得一拳头一瓶子干过去？都这么理智呢？报完jing到出jing可能你人都被拖出去被一共九个同款醉汉轮X到py大出血了，还感染一堆菜花，下半辈子都得防止漏shi而挂着人造便袋了，而且有女朋友和老婆的话大概率会嫌弃你羞辱你离开你（对应女/性真实状况），某些男性可以理解为什么一开始女生的朋友会出手了吗？
_老船长_佩恩注意,https://b23.tv/fUvoqiq罗老师讲一下呗
天外ヅ时,这不就是黑社会，有什么好轻判的
权槐SxE,众所周知疫情可以炸出人类的任何问题，没有例外，人类最大的教训就是学不到任何教训[OK]
乌木Lun,太害怕了……好怕哪天也跟这个女孩一样[大哭]
嗯嗯12138,认为这件事不值得生气，不值得愤怒，小题大做的人才是真正的站在正义的对立面
风中情-,【海南一中专多名女生围殴一男生，学校保卫科科长：警方正在调查-哔哩哔哩】BV1zM4y1P7SE
我爱中国支持统一,到达世界最高城邯郸！，太美丽了邯郸！看看远处的唐山吧BV1T94y127kr
鞦微,真的就这么的黑暗  笑死我了
零鳥-,这样说下来我也很冷静，我也应该算是个冷血动物，我把我自己带进去思考了一下，我完全没有能力去打过那几个人，对，我就是打不过，我就是怂，所以我要是在现场，我也不敢上，我也不敢动，事后我会跑远点报警，但是在现场我是绝对不敢动，我不冷静我能干嘛，我不冷静我跑上去送人头吗，就罗老师说的最后那一段话，说了这么多自我感动的话，真正在现场的话你有那个勇气第一时间冲上去吗？
speakin_,https://b23.tv/BV1Ng411R7Hz
一尺上人,敬佩上前的人，理解犹豫的人
midorihako,滴滴司机案我没看见，唐山我立马正义执行[打call]
轩辕城主,还有一些理中客说要不是黑衣女那一酒瓶事情不会严重，这些赛博阳刚男只会甩锅女人
雨鸥追雪,罗翔老师能开这个团吗[给心心][给心心][给心心]路人小伙长的太帅，三名美女强行将其带走：这是你的福气！ https://b23.tv/68UZys3
空調徐伦,AV298514928AV257434103AV722073701AV634577276
池面木曽,姐姐啤酒瓶还手真飒
劣币处理终端贰型,罗老师看这个你会不会也愤怒[给心心]BV1o94y117r7
方登FD,"【置顶】嘿，很抱歉打断你🤚

耽误您20秒时间

如果可以的话

请你点进去看看这位父亲
@15花开    
关注一下河南南阳二中的校园恶劣事件
也许你的这一眼
就会让真相大白
拜托了（转）

注：朋友，我的本心只是想去让更多人知道，请各位不要误会这是道德绑架啊！
（我也是转发别人的，感觉即使只能做这一点也比什么都不做强） "
星夜-_-璀璨,限流啊，一时热度，与江歌案一样，真是可怕……
正义天使-凯尔,说了一堆啥啊，东扯西扯的，大家伙想听啥心里没数吗？
秋风射百里,其实这件事情，如果性别对换一下热搜都不会有，那个女的拿啤酒瓶直接砸到那男的后脑勺不知道你们什么想法，虽然后面被单方面殴打但是女方就一点点错都没有吗，男打女叫恃强凌弱，女打男叫理所当然吗？广州医科大还有你想搜就能搜到很多女性多人围殴男性的新闻为什么她们上不了热搜，是不是应该也严查下为什么这么不平等
東雪蓮OffciaI,b站居然还能评论，抖音56w评论只显示了30条
EMINEM,"犯罪分子必须严惩
【广东医科大女生用玻璃瓶打伤男生【广东医科大回应两学生食堂冲突：伤人女生已由家长带回】-哔哩哔哩】 https://b23.tv/KGD38S9"
万佛之祖释迦牟尼,大v百大都如狗，总是刀下觳觫材🤗
给他们一点网络震撼,"罗老师这个您怎么看😁
BV1LF411u7Xx"
BOOM斑马,男女互换，舆论没有，可悲啊[微笑]
-明月蒹葭,确实不太现实，我们不能要求别人做什么，救人导致死亡，伤残的多了去了，还有救了人，被救者对救人者不管不顾的也有，每个人都有家人，舍己为人实在不可取，应该鼓励的是见义智为，而非见义勇为，风险太大了。
青青梓木林,音量调最大，可以听清监控视频开头那绿衣男说的话【唐山烧烤店一男子调戏未果竟叫人殴打一女生。全国文明城市市民竟出现野兽般行为？-哔哩哔哩】 https://b23.tv/hQY576W
春燕梨花秋岁月,"哇， 7  月的   
评论
全部
没有
了"
不确定因子,这类事情看太多了，生气，但生气没有用，评论里还经常有让人更生气的，后来看到类似的标题的新闻就走了，免得看了生气
耐久131的石镐,B站官方怕惹事：《每周必看》，但无评语
汎尹-受难日,【路人小伙长的太帅，三名美女强行将其带走：这是你的福气！-哔哩哔哩】 https://b23.tv/jIkCxgo
今天也没小TT,额，打人这种事情不是很常见吗，地边摊，网吧，酒吧，为什么唐山这个引起这么大的力量，有老哥说下嘛
落水鱼鱼,"他们要吃大碗牢饭的天数[tv_思考]
↓"
HandyCinema_電影时间,我不帮，因为我有我的家人
高质量鸡仔,我在抖音评论区看到好多与施暴者共情的，真不知道这些玩意到底什么成分[辣眼睛]
CheekiBreekiCN,"到达世界最高城，邯郸!
太美丽了，邯郸。
哎呀，这不打人呢
还是看看远处的唐山吧，家人"
雨不云,BV1sM4y1A7y2，确实，毕竟女强男弱，我觉得男性应该呼吁社会保护自己了
小眠zZ,评论区里还有人说是为了故意挑起男女对立，真的跟唐山那几个同伙吗？怎么会有人这么想？跟他妈牲畜一样
不要跟自己打架,可能有些偏题，但就我个人身边情况而言，到目前为止为这个事件发声的几乎全是女生，还有两个学马哲方面的男生，连女性长辈都被这件事惊动了为此发声，我却迟迟看不见其他男性的发声。强迫他人与自己共情这事确实有些无理取闹和道德绑架，可能是他们不善言辞，但是这现象真的让我感到很心寒、失望和说不出的难过。
达拉崩吧小心心,一个人不是生下来就是女人，她是变成女人的。 ——西蒙娜·德·波伏娃
-ylq,注意！！！请各位再次听烧烤店打人案原视频对话，这几个当时要在街头强暴受害者！！！请各位扩散！！！
栖月羚,本来事件是很愤怒，但是一群女的莫名其妙在那开地图炮，突然就感觉冷漠起来了，爱咋咋地吧。
强风灬拂面,我妈说事不关己高高挂起，赶紧走，这行为怎么评价。
不顺眼就喷你,[抠鼻]
秋风小羊,在某个软件看见一些把这个事件当乐子看的评论和支持女生不应该反抗的评论，离谱，三观碎了一地
权继博,【路人小伙长的太帅，三名美女强行将其带走：这是你的福气！-哔哩哔哩】 https://b23.tv/xoX0e9d
不良良良,BV11L4y1h7uj
bili_61636315807,【小伙见义勇为，以一敌四身中数刀，被救女孩却谢谢都没有，于是小伙起诉女孩！-哔哩哔哩】 https://b23.tv/JNj659x
尼柱中,BV1sS4y1w79b 也希望大家来看一下这个
俏妞_xxapple,https://b23.tv/BV1T94y127kr
旅记点滴,这次你没说明白
小鸡是大白菜,罗老师如何评价这个？【路人小伙长的太帅，三名美女强行将其带走：这是你的福气！-哔哩哔哩】 https://b23.tv/nngIiHj
枭喃自诩,还以为就是一个互殴事件，结果闹这么大，视频没看过，我就想知道这是得打的多狠
宗师级钓丶鱼大师,这个又敢讲了？
绿河星野,大多高播放的视频没了，新视频热度都特别低，真厉害啊[支持][支持]
米色浆糊,有个评论是这样的，网友最热心，路人最冷漠，到底是网友不出门，还是路人不上网。
英灵蔡闲静,事不关己高高挂起就可以了
哎七,"网络我们楠人是叶问农夫三拳
现实我们楠人好怕怂在一旁看"
思想火柜,乌合罗翔[给心心][给心心][给心心]
账号已注销,"初二时候不帮忙跑腿，被流氓堵在墙角打，只有一个女生上前帮我拉架，当时我就发过誓，以后碰看到女性被欺负，绝对舍命相助
但不是每个人都跟我一样的，他们也许人生中并没有那种帮助过他的人，他们也许早就感受过社会的冷漠，所以不应道德绑架"
暗黑大帝233,wc，我tm还认识施暴者，[冷][冷][冷]背后发凉
西北老汉大漫画家,增加热度，快出结果吧
凉皮躺在马路上作死,热度都没了[惊讶][捂脸]
图图图图个成果,不是死刑我不认可[吐]
风月鸿苏,你们骂罗老师干什么？他有一句话说的不对，你们就死咬着不放[微笑]
Dst-星野,货拉拉也没见你讲[藏狐]
---归燕,girls  help  girls
风亦天巡,罗老师，这两个案件有什么本质的区别吗？【路人小伙长的太帅，三名美女强行将其带走：这是你的福气！-哔哩哔哩】 https://b23.tv/DfBy5vC
彧卌,这个社会不需要控制不住欲望与节制的人
LAG始于初见,她只是开开心心的和朋友或同学出去吃顿烧烤而已……[难过][难过][难过]
祁故山,老师说得好，我同学吵起来了，认为只要男的不打女的，就没有那么多暴力的事情……甚至认为周遭没有见义勇为的都有罪。
厚奶仙草冻,今日我若冷眼旁观，他日祸临已身，则无人为我呐喊。
download鸭,其实你只要从施暴者的动机出发，就可以明白为什么女性会集体发声，去声讨男性——性骚扰。从男性的角度出发，我们不清楚性骚扰是什么个概念。简单举个例子，一个女性在晚上独自走夜路的时候，发现后面跟着一位陌生男性，时不时向你吹口哨，盯着你，女性自然而然的会害怕。但如果是男性被女性跟着呢？当然有些人会感到不适，但大部分男性应该会不在意，认为这个女性并没有跟踪自己，也没有对自己进行性骚扰的意思。因为女性就是处于弱势群体的一方，她们害怕下次受到性骚扰的就是自己，挑起性别对立，甚至对所有男性开地图炮，都是属于她们保护自己的一种行为。当然不乏一些偏激的言语，但目前来说女⭕️的存在确实有其合理性。
_-吱吱喳喳-_,贴吧有因为这个案件搞男女对立的，我大为震撼
善良又大力,袜，好多理中客哇[鼓掌]
キサキちゃん,三观还得是罗翔老师，传道受业好老师！[打call]三观还得是罗翔老师，传道受业好老师！[打call]三观还得是罗翔老师，传道受业好老师！[打call]
小南小南新年不难,帮他们的女生有的是吃饭的朋友，还有一个女的是和打人一起的，那个女的估计是怕打出事，才去拦那群打人的，后来被他男朋友给了一巴掌，旁观那群男的就是陌生人，对于这样的情况，无论男女，人不够多，孤家寡人上去就是多几个去医院的。
小枫叶哦,怎么被打出抖音的？你怕是忘了
赏烟花じ飞满,我只能说性别一换烟消云散
xsaerkgir,"解决办法很简单。

我们最应该呼吁的是 “男人不应该打男人”！！

当时为什么没有男人敢上去劝架？？正是因为男人们知道 “男人打男人是最狠的”，男人打女人可能还会 手下留情。所以男人们都不敢上前和5.6个男人硬杠。

只有不停呼吁“男人不准打男人”的观念，男人才会勇敢上前劝架，世界也不会发生战争了！！！"
沐清语兮安,大家跟我一起喊：死刑立即执行[呲牙]
天堂向左cc,正常人不发声就会让那帮搞性别对立的极端分子控制舆论风向，我们应该关注的只有施暴者和被害者，而不是他们是男是女，不要girls help girls，而是people help people，任何搞性别对立的行为都是分化自己的群体，削弱自己的力量。
清显的恋人,"这个案子首先是性别暴力（性骚扰），其次才是恶性暴力（殴打凌辱）案件，顺序无关程度但应该被这样注意到。
因为性骚扰太普遍了所以女性被默认不曾从性骚扰中受到（实质）伤害，又由于被默认了无害且难以问责所以更加普遍，所以在这个案件中也被一些人直接简单化是恶性暴力个案而忽视至今都大范围潜藏的性骚扰。

不要挑起性别对立——这句话本身就在完美展现父权社会是怎么奸诈地通过理中客角色对女性沉痛的呐喊进行遏制。"
帽喵,BV1T94y127kr请发声[打call]
immnvo,一个个说坏的是人不是性别，那求求下次这种关注量的大新闻让我看看女流氓吧，让我开开眼[难过]
豆腐卷风车,货拉拉不讲，这个讲是吧？[给心心][给心心]
-玩屎不恭-,女的没错，男的该判刑的判刑。但我又有什么错？[星瞳_流汗][星瞳_流汗][星瞳_流汗]
语赢顶针,小孩被莎时咋没见到你
旅者的夙愿,普宁4岁男童呢？性质更加恶劣，然而不管是曝光还是跟踪报道都远远比不上这个事件。
我是41的,老师 “毒”教材事件怎么看[思考]
青年请问,男子先动的手，和女子先用的酒瓶子，这个情况不会影响判罚啊
小何没有钱,这种人应该被判死刑[生气][生气][生气]
我在食堂吃泡面,热度已无
友谊计划前哨站长,要求不高[OK]只求审判公正，当然死刑是最好的
喜欢她的tys,官方现在都定性了，涉黑案件[藏狐]
就这套路,看到这九个还觉得，以貌取人不对吗？这一看就不是好人吧
二郎神小熊年豆包的妈,“这件事情最让人绝望的就是，你带入旁观者不敢见义勇为，你带入受害者就只能任人宰割。”作为暴力事件的经历者，完全可以共情。事发当天，几乎一夜未合眼，气愤，悲痛，深恶痛绝！若身体伤害尚能修复，心理阴影该如何抹去？最可怕的是记忆挥之不去…
随便改一个名好了,热度被压了，唉
烟台老田,鉴定出轻伤二级，那最高三年了。
名字千万要好记,我会出手的，因为我还没到顾虑那么多的年纪
微蓝海233,死刑！！！！！
守夜小分队,教材事件，也一起关注吧！[嫌弃]
甘雨的乌龙茶,人大概率没了，唉
玉凤言溪,最后一句话，你要是在现场，真的敢像在键盘前一样冲上去吗？
请叫我中路小仙女,https://www.bilibili.com/video/BV1nF411c7Kz?spm_id_from=333.999.list.card_archive.click&vd_source=97881301bfe3e4e1f1b370c2f8f2d25c
tiamzfc,"游戏中你输了，说什么都是错的。
现实中你没保护好人民，说什么同样不管用。"
なしツ,看到这类新闻毫无感觉
伊fae,视频里的暴力不是现实，网上才是
账号已注销,这个up主完全把女生和男生的想法都说出来了，三观很正，推荐大家看看BV1oa411L7EZ
七天风流,不是，这讲了半天讲了个啥啊
bili_63506025921,BV1z4411o7oD
就是个无趣的网友,罗老师好，如果把被打者换成同性，是会被定义成互殴吗？我想应该不会成为这样吧[笑哭]
CandyGala,还有深圳孙启龙事件
包包和他的朋友们,从第一次的警情通报可以看出此案已经定性为寻衅滋事、故意伤人的恶性案件，由此可见，其中第一施暴者刑期有可能在10年以上，其第二第三施暴者刑期可能在5-10年，其余为量刑，按罗老师说的寻衅滋事可以替代弥补伤情所带来的不重判情况，如果施暴者本身有在案的或者有前科的，数罪并罚也是重判的依据，最后毫无疑问附带的民事赔偿是绝对从重从严的。
wookyun,https://www.bilibili.com/video/BV1it4y1H7Ut?spm_id_from=444.41.list.card_archive.click&vd_source=ebb4ef75f602024afe33fcc420b14164
没开始就赢了,不见义勇为现象一直都有啊，为什么这次就影响大了呢[翻白眼]
Cthgua,请问，率先用酒瓶子砸头的黑衣女算“见义勇为”还是“正当防卫”还是“开启械斗、群殴升级事态”？
三棱王,如果不是网络與情搞不好最多行拘。
东隅鸦隐,似乎注意力被转移了呢[星瞳_放过我吧][星瞳_放过我吧]
Gee你太美,令人感叹
伪恋唯恋,然而很多不理智的人借此来挑起性别对立和地域黑，她们却没有想到，受伤的女孩也是唐山人，她们也有家人是男性，甚至也可能有喜欢的人。她们只想着发泄自己的愤恨，发泄自己所谓的对社会不公的怨言，却不知道这样伤害了同样对这件事感到愤恨的更多群众。她们根本不关心受伤的女孩。她们只想借此获取利益，或以此发泄怨气。
大萨达还得,我有半年时间没看过罗老师了，听说罗老师被网暴，真的很不理解[热词系列_知识增加]
TL00H,恢复中国人的道德和勇气
feng234-,"坏的是人,而不是性别,勿带节奏"
月神盈,罗老师，我想问个大家忽略的事实，那就是从视屏来看，是女方先动酒瓶子（持械），这样的话会不会被定性成互殴？[吃瓜]
智子是女生,看我动态宝贝
傻傻美,终于逮着个安全的热点，冲啊
丶hyperion灬,[无语]不明白为什么故意伤害至重伤只有10年，本人非学法纯属好奇，勿喷
high酱-,别说是女的 就文弱点的男生也有可能因为不经意触怒涉黑团伙然后被打死吧
法治迷茫,罗老师您好，我想请问一下，被打的白衣女子可不可以因为用酒瓶打了绿色衣服的施暴男子的头，被公安机关处以拘留五天的行政处罚？合适吗？合理吗？请求罗老师解惑，谢谢
SoSTG,这热度就离谱
小哲哲哲哲哲也,我还是希望大家能关注事件本身，性别对立的真的三观有问题
xiaofangf123,打赢打输都要进局子，你说怎么帮忙
工地的日常,还英雄侠士敢去唐山，游山玩水吗？，听说唐山还竞选文明城市。求告知，唐山牛逼，，83年唐山更牛。。。[打call][打call][打call]
汉唐狂情,罗老师，典型的法儒啊！[妙啊]
DB3,见义勇为只有成为时代潮流才会使人们不后怕，成为这样时代潮流的先行者，从我做起
爱吃的小pang,罗翔老师，视频中施暴者多次攻击用脚踹、用酒瓶攻击受害者头部，为什么不能以故意杀人罪起诉？
鹤予知,有慈悲众生的心却没有慈悲众生的能力
丧偶天鹅,如果打人方请您辩护呢？怎么找节点？不是恶人也有恶人的权利吗
保级爱搞事的玄蓝,就算发生再这种事情也不会有人见义勇为的，报警就差不多了，都是独生子女，不考虑自己也要考虑父母，警察能管的事情别逞英雄
羊羔boss,白天出门就安全了？不出门就安全了？我夏天出去吃个饭穿大棉袄?[呆]
opfde,你是律师 你直接告诉大家路见不平 拔刀相助算不算正当防卫啊 让大家有个底啊
心里装着小露露,这娴熟的样子，像第一次打人吗？
宇腐面,货拉拉呢？
空灵谷雪,今天看到一个热搜，说受害人中最重的只掉了几颗牙。大家信么？？？？
光明丨彼岸,请问会公诉吗？网上已经有在传私了了
lich_hcil,我想问问罗老师受害人抡酒瓶那一下会不会对严惩罪犯造成不利影响。
十九不喝酒_,我有一个想法，面对9个壮汉，一个人冲上去肯定是被群殴的，在场几个人冲上去最多发展成打群架，这些都控制不了现场，但如果我开辆车到跟前，鸣笛警告，不散开就撞呢？这样是否会起到效果？会有什么样的后果呢？
朩頭丶亽,[辣眼睛]虽然我很想挺身而出，但是考虑到自身的身体素质和出手后附带的后果，我最多选择报警，我只是一个普通的打工人，没有精力来应对后续的事情，前几天还看到某位女星在哪站在道德制高点，说着何不食肉糜的话，我只想笑
天河田禾,大家最生气的是不敢出手相救。一旦出手容易被认定为互殴
梦想是做鸵鸟,"保持愤怒是保持对罪恶与黑暗的愤怒，建议冷静是不要跌入性别对立的怪圈。
必须要冷静才能抓住主要矛盾，必须要理智的愤怒才能解决主要矛盾。
少搬孔子那一套，实事求是什么时候这么难了？"
DOAK,感谢罗老师为我们普法
于小驴,法家就别谈儒家，儒家是道德，对性本恶的人不适用。。
vicky194412,作为女生，我觉得很恐慌
诶嘿黑hei,事实就是恶性事件天天有，总有几个有热度，抓住就不放还挑起性别对立，真是难蚌
兔子导航员il,最过分的是，他们一开始说的是把那个几个女的拖到墙角🍃了
apple9704,打人者在某些面前也是弱者，他只会对比他更弱者发泄暴力。某些是什么你们应该懂
计划de一部分,我建议对于这些人直接死刑起步
presmec,我觉得是互殴
我要秃惹,我从小练传统武术、现代格斗。但是当关注这个事件的时候，我发现我在现场除了逃出去偷偷报警什么都做不了。这群黑社会又壮人又多，打急眼了还抡武器打，根本不可能打得过这帮人。所以我对这件事非常愤怒，因为看视频和现场目击是完全不一样的！
歪嘴の戰神,开头说的很对，不要老是装理中客，话里带佛光。人就是有感情有情绪的。
木白不是bo,下次女孩子在外遇到又高又壮的男人要微信先鞠躬然后说我扫您[笑哭]
北野マツ子,老师好厉害[星星眼][星星眼]一看到热搜榜就来了，嘿嘿[脱单doge][脱单doge]
往浮_coast,唐山是守常先生的故乡。
二十一的浩,犯罪的后果有点轻了，几个醉酒男子下手会知轻重吗？不可能，打死都有可能，这才关5年？更别说还有表现良好的减刑缓刑。但对于受害者来说呢？他只是个年轻的女孩，这将是她一辈子的心理阴影，更别说有可能导致自闭症 恐男症 精神疾病等等，相比那些犯罪的惩罚太轻了…
文栖竹qizhu,这种算不算社黑啊，能不能判更重一些？
榴月刚通网,最后那句让我想起我在看《追风筝的人》时，看到哈桑的遭遇，我愤怒，但我几个月没敢再翻开那本书，因为我在问自己，我会挺身而出吗？我不敢，我很鄙视自己，但我真的不敢。后来我再次翻开那本书是因为我接受了自己的懦弱，并且我相信我可以勇敢，有人比我勇敢，我也可以去求助更有能力的人。而这次事件我愤怒，害怕，因为视频中果然是女孩帮助女孩，希望以后男士不要只是冷眼旁观。劝人见义勇为很危险，但，至少报警，即使没有，也请帮忙报警。
腿毛贼啦长,那你说人家没帮忙的凭什么就要被全网人骂，这不是个道德问题吗，不去帮忙就被骂？
君莫笑不言,喝了点马尿，不知道自己是谁了
阿凑acol,那个黑衣女也是个初生
萨隆苦囚,突然想求个全国城市治安排行榜了[辣眼睛]
媣娋的火柴人,判死刑吧。动手的人怕是暴力得病了。进监狱冷静冷静看不行还暴力就死刑。不然放出来对所有人都是一种残忍。
mugi蜜柚衣,张雨绮出来挨骂
雨落留痕jhr,这么多键盘侠，不去考北影真的是屈才了。
照水红蕖香,越是这样我们越不能怕，真要几个人来揍你我们不能坐以待毙，被扯头发不要怕疼，倒地有点力气就要爬起来，拿椅子砸拿啤酒瓶，碎了用玻璃。不管怎么样，绝不能让坏人得逞他们的目的！希望中国的女性都站起来，不要指望别人永远礼貌尊重你，硬起拳头才是真的，社会有时候就是这么野蛮。[爱心]
Lucilll,躺在血泊中的是她们，也是我们。
单推鹿乃的夏夜亦萌,看到这一新闻的时候，我的第一想法不是关注这女生被打，为什么被打。我注意到的只有那没有人去帮忙，我仔细想了一下，在那种情况下，我也只会袖手旁观，打电话报警。不会上去劝架。所以我不理解的是为什么网上都在说旁边袖手旁观的人？扪心自问，有几个人在这种情况下上去帮忙？最少我知道我没这个能力。古话说的对，穷则独善其身，达则兼济天下。
Modemm,"这种事情中国太多太多了，只是因为被焦点放大了，搞得大伙愤怒。
要是比这恶劣的每一件事都报道出来，网友就天天愤怒了。"
楚雨潇潇,唐山这么黑，其它地方又白多少？
不想吃圆的帆帆子,强奸未遂呢？视频里语音有这方面东西
婉仪今天吃什么,终于在罗老师视频下面没有拳了，真的就“看了一圈朋友圈，感觉杀人的是我自己”
盈盈Sun,五年太少了，能不能想办法提高刑罚？
张三李四王五啊啊啊,偷偷报警毕竟人家那么多人打不过
橘猫喵喵妙啊,不知道为什么，明明整个事件就很吓人和离谱了，还有人把重点转移到男女，这种事都要分男女吗？？？？[囧][囧][囧]
Faye__Va1entine,还是破站的网友有素质，别的平台人们讨论的范畴早就已经不是这起案件本身了[辣眼睛][辣眼睛]
有钱的时,“我是幸存的她，她是受害的我”伤害没有到自己身上的时候都不会有真正的感同身受
火绒flower,7.5万+人正在看，再一次刷新了我对牛逼的认知[热词系列_知识增加]
玫y,说实话看了完整视频以后真的很难过，心里的那种无奈愤怒感，还让我哭了一场。但我也思考了像罗老师最后说的，如果我在现场我会去帮忙吗？我想我不会挺身而出，我也怕挨打，但是我会帮忙报警，如果可以我会组织其他人一起上，可能我也会冲上去吧，也会不怕他们打而去保护女孩，但毕竟我没有在现实中遇到过。
戴草帽的橡皮,大晚上的，还是7w+，太诡异了！[doge][doge]
狗娃猫娃鸡娃,死刑死刑死刑全部死刑，不为别的，它们那种残忍野蛮的手段根本就是要打死那几个女孩，造成的恶劣社会影响无法估量的！
晨_夢雲_曦,无关男女，恶人就是恶人
尧koi,"我都不敢看视频，看着文字都愤怒！！
还是人吗？甚至还有人说女生的，再一次看到了人性黑暗。"
さくさく美味しく,拉块麻麻滴今天回家路上居然给我碰上了类似事件，有个醉酒男要打两个女生，好像是家暴，两个女的好像是对母女。看没人制止，我脑子一热上前说了几句，警察局在旁边叫他不要这样，就差点被打了[笑哭]还是旁边有人对方没有武器我才敢这么说。后来他们拉开距离了我就回去了，想想好怕啊，怕被报复，或者万一被打了我会不会G了[大哭]
叉烧一号,BV1Ea411e7Xh
一步之遥3,货拉拉司机呢[胜利]
冰糖tang233,为啥会有那么大轰动，打架不每天世界都会有吗，打死人的也不少啊
火火火999,那个视频一开头那个男的说：把那个女的拖到路边cao，这个属于什么罪[辣眼睛]
圈了个媛_bili,"她是我们
希望我们都能勇敢和善良"
韩属四川道师范辛教授,女子杀童案怎么定罪
沐屿橙枫,https://b23.tv/BV1NL4y1N7rZ 又是唐山的！大家让它也上去！
